district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
淡水區,車位,新北市淡水區民權路１９３之１號,1.72,商,,,1110302,土地1建物1車位1,一層,二十九層,其他,一般零售業,鋼筋混凝土造,1000613,24.96,0,0,0,有,有,1700000,,坡道平面,24.97,1700000,僅車位交易；,RPQOMLSKKHHGFEF28DA,0,0,0,有
淡水區,房地(土地+建物),新北市淡水區大忠街８５號四樓之３,5,住,,,1110210,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790828,28.88,1,1,1,有,有,1700000,58864,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLRKKHHGFEF18DA,16.8,0,3.23,有
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段１８號四樓之２,20.14,商,,,1110209,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,980713,292.55,3,2,2,有,有,25000000,85455,坡道平面,34.79,0,,RPQNMLSKKHHGFEF28EA,161.26,0,25.56,有
淡水區,土地,興仁段459-1地號,196,,特定農業區,特定目的事業用地,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3083080,15730,,0,0,,RPQNMLRKKHHGFEF18EA,0,0,0,無
淡水區,車位,新北市淡水區淡金路１８、２０、２２、２４、２６、２８、３０、３２號及淡金路１６巷１、３、５、７、９、１１、１３、１５、１７、１９、２１、２３、２５號之地下室底三層,0.69,住,,,1110207,土地1建物1車位1,地下三層,二十二層,其他,防空避難室兼停車場,鋼筋混凝土造,821224,51.14,0,0,0,有,有,1000000,,坡道平面,51.13,1000000,僅車位交易；,RPXOMLSKKHHGFEF09EA,0,0,0,有
淡水區,房地(土地+建物),新北市淡水區新民街１８０巷７弄１３號三樓,8.06,住,,,1110212,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780822,35,1,0,1,有,無,1400000,40000,,0,0,,RPUQMLLLKHHGFEF28DA,21.97,0,3.43,無
淡水區,房地(土地+建物)+車位,新北市淡水區坪頂路７號十一樓,15.42,商,,,1110210,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060328,184.22,2,2,2,有,有,17200000,118046,升降平面,48.68,1200000,含租約；,RPRNMLMKKHHGFEF67DA,73.49,9.27,5.98,有
淡水區,房地(土地+建物),新北市淡水區民權路６７號八樓之２,3.35,住,,,1110209,土地1建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850203,41.85,1,0,1,有,有,4820000,115173,,0,0,,RPUOMLSKKHHGFEF78EA,28.22,0,5.34,有
淡水區,房地(土地+建物),新北市淡水區水源街一段１４８號三樓,15.33,住,,,1110207,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680411,54.84,4,2,1,有,無,3000000,54705,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNLKHHGFEF87EA,54.84,0,0,無
淡水區,土地,天元段558地號,118.02,,山坡地保育區,農牧用地,1110210,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1080000,9151,,0,0,,RPSQMLOKKHHGFEF28DA,0,0,0,無
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段４２號十三樓,10.48,商,,,1110217,土地2建物1車位1,十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,144.53,2,1,1,有,有,16000000,115408,坡道機械,13.69,900000,,RPSRMLOLKHHGFEF58EA,58.28,0,26.91,有
淡水區,房地(土地+建物),新北市淡水區中山北路一段２５９號十樓之５,2.6,都市：其他:住宅區,,,1110222,土地2建物1車位0,十層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,880811,41.6,1,1,1,有,有,2000000,48077,,0,0,,RPVPMLMLKHHGFEF38DA,28.91,0,3.87,有
淡水區,房地(土地+建物),新北市淡水區中正路二段４２之１號三樓,7.78,商,,,1110214,土地2建物1車位0,三層,二十九層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1061026,98.84,1,2,1,有,有,12200000,123432,,0,0,,RPOSMLPKKHHGFEF18DA,46.92,2.31,15.13,有
淡水區,房地(土地+建物),新北市淡水區中正東路二段８３號二十四樓之２,2.53,住,,,1110212,土地5建物1車位0,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,920922,52.36,1,1,1,有,有,5900000,112681,,0,0,,RPQQMLOLKHHGFEF18DA,32.37,0,6.75,有
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路三段１４８巷５５號九樓,29.04,住,,,1110211,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,138.52,3,2,2,有,有,8400000,64971,坡道平面,29.24,1300000,其他增建；,RPXOMLOLKHHGFEF68DA,66.59,4.74,5.82,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段５６號三樓,19.04,住,,,1110206,土地1建物1車位1,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,160.36,3,2,2,有,有,8200000,51135,坡道平面,24.57,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPLKHHGFEF08EA,80.51,9.78,5.63,有
淡水區,房地(土地+建物),新北市淡水區英專路１２０號三樓,17.17,住,,,1110208,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741114,90.22,5,0,5,有,無,6050000,67058,,0,0,,RPVOMLMJLHHGFEF28EA,87.34,0,2.88,無
淡水區,土地,水梘頭段百六戛小段10-9地號,47,,國家公園區,,1110223,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,96001,2043,,0,0,地清或未辦繼承標售；,RPQNMLOJLHHGFEF87EA,0,0,0,無
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段６３之２號五樓,13.03,住,,,1110212,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011121,104.99,1,1,1,有,有,7500000,71435,坡道平面,36.08,0,,RPVUMLPLKHHGFEF56DA,40.25,0,5.26,有
淡水區,房地(土地+建物),新北市淡水區民族路６５巷５４號七樓,17.71,住,,,1110203,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960124,80.03,2,2,1,有,有,10100000,126203,,0,0,,RPQRMLMJLHHGFEF97DA,48.16,0.77,7.04,有
淡水區,車位,新北市淡水區民族路６５巷１８號地下二層,0.71,住,,,1110225,土地2建物1車位1,地下二層,十二層,其他,辦公室,鋼筋混凝土造,960124,19.45,0,0,0,有,有,800000,,坡道機械,19.4,800000,僅車位交易；,RPSNMLSJLHHGFEF48EA,0,0,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區坪頂路２８８號八樓,56.47,,山坡地保育區,丙種建築用地,1110216,土地2建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860402,138.97,3,2,2,有,有,6500000,46773,坡道機械,24.16,0,,RPUNMLSJLHHGFEF68EA,71.95,0,10.94,有
淡水區,房地(土地+建物),新北市淡水區新民街１８０巷７弄１７號三樓,8.58,住,,,1110215,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780822,37.36,1,1,1,有,無,1600000,42827,,0,0,,RPVQMLOJLHHGFEF68EA,23.6,0,4.16,無
淡水區,房地(土地+建物),新北市淡水區北新路１８２巷５弄２１號三樓,5.34,住,,,1110218,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780310,21.89,1,0,1,有,有,1600000,73093,,0,0,其他增建；,RPQQMLLJLHHGFEF77DA,16.17,0,0,無
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路三段１４８巷１０９號九樓,24.14,住,,,1110215,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,120.41,2,1,1,有,有,7500000,62287,坡道平面,30.89,0,陽台外推；,RPUQMLMJLHHGFEF28DA,53.81,4.09,5.67,有
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路三段１４８巷４６號二樓,39.11,商,,,1110208,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021007,159.12,3,2,2,有,有,11080000,78253,坡道平面,34.78,1350000,其他增建；,RPRPMLPLKHHGFEF28DA,76.46,0,10.13,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路三段１０１巷１７０號十四樓,32.64,住,,,1110211,土地1建物1車位1,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031106,213.44,2,2,0,有,有,15550000,72854,坡道平面,0,0,,RPXPMLRJLHHGFEF98DA,119.81,0,6.18,有
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段１８９巷１３６號十三樓,25.97,住,,,1110216,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990615,153.4,3,2,2,有,有,13800000,89961,坡道機械,17.4,0,,RPUQMLRJLHHGFEF78DA,80.11,5.19,10.57,有
淡水區,房地(土地+建物),新北市淡水區大忠街８５號九樓之２,6.67,住,,,1110219,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790828,43.08,1,0,1,有,有,3000000,69638,,0,0,,RPUOMLSJLHHGFEF68DA,23.16,0,6.64,有
淡水區,房地(土地+建物),新北市淡水區紅樹林路１５５號十六樓,15.29,住,,,1110207,土地1建物1車位0,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060118,91.25,3,1,1,有,有,10300000,112877,,0,0,,RPPQMLSJLHHGFEF38DA,52.98,2,7.53,有
淡水區,土地,水梘頭段楓樹湖小段203-6地號,1515,,國家公園區,,1110223,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,2750000,1815,,0,0,,RPPQMLOJLHHGFEF97DA,0,0,0,無
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段１２０號十五樓,21.82,住,,,1110212,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,144.65,3,1,2,有,有,11750000,86517,坡道平面,25.02,1400000,,RPUOMLOJLHHGFEF28DA,70.75,5.02,5.41,有
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段３５８號二十一樓,19.82,商,,,1110214,土地1建物1車位2,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080822,278.49,4,2,2,有,有,19080000,71861,坡道平面,51.94,2800000,,RPVOMLRKKHHGFEF68DA,139.64,4.56,10.93,有
