國文,英文,數學,地理,歷史
70,75,51,96,56
59,57,72,95,61
98,60,96,76,58
78,86,74,69,62
94,75,83,56,63
93,68,62,98,54
83,94,91,58,90
67,68,93,83,80
72,52,98,55,54
61,98,73,79,60
99,64,51,99,88
59,96,77,89,57
55,80,84,99,76
83,67,58,71,80
88,78,85,85,53
80,59,92,70,50
94,93,95,88,88
87,51,90,57,87
72,55,85,81,90
51,55,55,91,89
63,76,76,83,65
51,83,69,88,65
90,65,68,93,69
98,81,53,97,61
97,54,52,84,75
75,50,54,56,96
81,71,65,62,54
57,54,91,74,54
72,78,66,72,93
94,64,87,97,64
70,76,96,79,62
69,85,86,77,93
61,95,53,94,85
93,50,88,66,74
94,58,93,57,97
62,87,63,61,78
98,76,61,95,90
97,76,60,82,66
64,62,62,97,87
86,52,53,78,93
83,84,54,89,87
75,54,55,90,57
92,82,95,100,91
78,57,61,75,53
90,97,73,85,65
59,89,70,92,62
68,100,92,90,71
95,51,76,89,69
96,89,79,51,89
68,67,62,63,89
